2026-07-30,19:30,Kompiuterių pamokos vis dar reikalingos,@jbutkus
2026-07-30,20:00,"FPV dronai, valdymas, konfiguravimas",Andrius
2026-07-31,17:00,Intro: No Trolls Allowed #14,@pawka
2026-07-31,17:30,Kaip tirti Lietuvos interneto raidą?,@mrmktb & @postscriptum1984
2026-07-31,19:00,Lietuvos Kariuomenės Mažosios oro gynybos sistema (MOGS),Gintaris
2026-07-31,22:00,Terminalo Kultas,Brolija
2026-08-01,10:00,Prasideda pranešimai,NTA
2026-08-01,12:00,Autistiškas žmogus šeimoje. Kas toliau?,@kroitus
2026-08-01,13:00,MeshCore - kaip pasigaminti retransliatorių?,@MartynasZilinskas
2026-08-02,10:10,Prasideda pranešimai,NTA
2026-07-29,17:00,Open Kitchen / Bendra Virtuvė,Visi
TBD,TBD,Ardupilot IMU drivers: adding new fancy Murata IMUs,@vidma
2026-08-01,13:30,Introduction to Plan 9,@rtfb
2026-08-01,15:30,"Mažiau planuok, daugiau gyvenk. RPM",@simnau
TBD,TBD,MCP Apps: UI inside AI,@aurelijusb
2026-07-31,19:30,A kiek lietuviško interneto yr internete?,@debesyla
2026-07-31,23:30,AI programavimo agentas nuo nulio,@monai
2026-07-31,18:00,"TCC: Karo medicina, M raidė",@swatas
2026-08-01,18:00,Topografija: Kaip naudotis žemėlapiu ir kompasu,@swatas
TBD,TBD,Maikonų dirbtuvės,@aistisraudys
2026-08-01,15:00,Nuo senovinių burlaivių iki skraidančių kiborgų,@arturasjas
TBD,TBD,Antweight robotukų dirbtuvės,@TomasSiauliaiNights
2026-08-01,16:00,Kasų pynimo dirbtuvės,@milda
2026-08-01,16:30,My external brain in production,@kuusas
TBD,TBD,"Kiek visgi to aukso ""data - is the new gold"" klišėje?",@kamiccolo
2026-08-01,15:00,Peilių galandinimo dirbtuvės/mokymai,@Richardas
TBD,TBD,Perpetual Stew/Amžinas troškinys,@Richardas
TBD,TBD,Teaching a local machine to read manga,@tankiaitaskuota
TBD,TBD,Digital necromancy - OCR your ancestors back to life,@aleksas
TBD,TBD,Išgyvenimas su parakinėmis priemonėmis,Andrius
TBD,TBD,"Blacksmithing for dummies, by dummies",Mykolas ir Douglas
2026-08-01,19:00,Smart Letter Box,@edast
TBD,TBD,Riichi Mahjong,@EimantasZubavicius
TBD,TBD,"GIPSO workshop’as, kuriame lipdysime kūno dalis",Violeta ir Arnas
2026-08-01,14:30,"Nardymas 2: srovės, kabliai ir simuliuojamas chaosas",@adomas-s
TBD,TBD,Kodėl „truputį kasdien“ neveikia: produktyvumas per apsėdimą,@credas
TBD,TBD,Viešpirkiu iniciatyva - ką gali entuziastai AI amziuje?,@eima
TBD,TBD,Asmeninės galios pajauta,Antanas Mockus
TBD,TBD,Juostiniai aidai - kas tai yra ir kodėl įdomu,@VytautasVisminas
2026-07-31,18:30,Kodėl Lietuvos keliai tokie?,vaidas
2026-08-01,14:00,Ar perdegimas = „tiesiog pavargau“?,Daiva
TBD,TBD,Kodėl Radvilų rūmai sugriuvę?,Domas
2026-07-31,21:30,E-tekstilės tyrinėjimai ir Fabricademy kursas,Ieva Marija
TBD,TBD,Crokinole and other board games workshop,@tadkle
2026-07-31,20:30,Kaip susikonstruoti kovinį robotą?,@TomasSiauliaiNights
TBD,TBD,Afrikinių dūdų (a.k.a. Pulse Jet) demonstracija,KMS
2026-07-31,23:00,Ukulelės terapija prie laužo,Austėja KMS
TBD,TBD,Meshcore camp network and uplink to VLN,Group effort
TBD,TBD,"9 mėnesiai, kuriuos daugelis vadina prarastais",Martynas Jančys
2026-08-01,16:00,Pratybos regėjimui,Agnė
2026-08-01,12:00,Bendraminčių Bingo - susipažinimo veikla,Paulina
TBD,TBD,Šakočių kepimas Kęstučio patūrbintu pačiumi,Paulius Algis
TBD,TBD,"Nuo Antikos iki Irano, karai pagal akademikus",Manvydas
2026-08-01,10:30,"4,04 km bėgimas",Kristina
2026-08-01,21:30,400 min vidury greitkelio vardan 2cm GPS tikslumo telefone,@pbriedis
2026-08-01,22:00,In London as a VR programming teenager,Ahmed Azmat-Kuizinas
2026-08-01,13:30,Sea battle game workshop,@rm
2026-08-01,21:00,DnD nuotykis su Linksmuoju Džeku,Dalius
2026-07-31,21:00,"Lietuva, tu man viena - 100 metų ekonomikos ir demografijos",@VytautasV
TBD,TBD,Pramogų parkų cheat code,"Minkevičius, Meida & Urtė"
2026-08-01,12:30,Reproducable home lab with NixOS,2m
TBD,TBD,Linux workshop,@kvaidas
TBD,TBD,Geneologija ir Archyvai,Pranas S.
TBD,TBD,Maker in Drone squad,Pranas S.
TBD,TBD,Kodėl nesulūžta lėktuvai kuriais skrendame?,Julius
2026-08-01,18:30,Laivavedyba. Kodėl ir kaip tapti kapitonu?,Kapitonas Darles
2026-08-01,11:30,"Indie Game, hold my beer",Danielius Jonušas
2026-07-31,17:30,Workshop: Išbandyk VR headset,@adassid
TBD,TBD,Breaking Up With The Big Tech,Justinas
TBD,TBD,"Alpinistinė įranga. Pakilimas, nusileidimas, saugojimas",Tautvydas
2026-07-31,20:00,"Gyvenimas šviesos ritmu, off-grid solar bute",unknown
