2026-07-31,NONE,Intro: No Trolls Allowed #14,@pawka
2026-07-31,NONE,Open Kitchen / Bendra Virtuvė,Visi
2026-07-31,NONE,Ardupilot IMU drivers: adding new fancy Murata IMUs,@vidma
2026-07-31,NONE,Terminalo Kultas. II dublis,Brolija
2026-07-31,NONE,Introduction to Plan 9,@rtfb
2026-07-31,NONE,"Mažiau planuok, daugiau gyvenk. RPM",@simnau
2026-07-31,NONE,MCP Apps: UI inside AI,@aurelijusb
2026-07-31,NONE,Autistiškas žmogus šeimoje. Kas toliau?,@kroitus
2026-07-31,NONE,A kiek lietuviško interneto yr internete?,@debesyla
2026-07-31,NONE,AI programavimo agentas nuo nulio,@monai
2026-07-31,NONE,"TCC: Karo medicina, M raidė",@swatas
2026-07-31,NONE,Topografija: Kaip naudotis žemėlapiu ir kompasu,@swatas
2026-07-31,NONE,Maikonų dirbtuvės,@aistisraudys
2026-07-31,NONE,Nuo senovinių burlaivių iki skraidančių kiborgų,@arturasjas
2026-07-31,NONE,Antweight robotukų dirbtuvės,@TomasSiauliaiNights
2026-07-31,NONE,Kasų pynimo dirbtuvės,@milda
2026-07-31,NONE,My external brain in production,@kuusas
2026-07-31,NONE,"Kiek visgi to aukso ""data - is the new gold"" klišėje?",@kamiccolo
2026-07-31,NONE,Peilių galandinimo dirbtuvės/mokymai,@Richardas
2026-07-31,NONE,Perpetual Stew/Amžinas troškinys,@Richardas
2026-07-31,NONE,Teaching a local machine to read manga,@tankiaitaskuota
2026-07-31,NONE,Kaip tirti Lietuvos interneto raidą?,@mrmktb & @postscriptum1984
2026-07-31,NONE,Digital necromancy - OCR your ancestors back to life,@aleksas
2026-07-31,NONE,"FPV dronai, valdymas, konfiguravimas",Andrius
2026-07-31,NONE,Išgyvenimas su parakinėmis priemonėmis,Andrius
2026-07-31,NONE,"Blacksmithing for dummies, by dummies",Mykolas ir Douglas
2026-07-31,NONE,Smart Letter Box,@edast
2026-07-31,NONE,Riichi Mahjong,@EimantasZubavicius
2026-07-31,NONE,"GIPSO workshop’as, kuriame lipdysime kūno dalis",Violeta ir Arnas
2026-07-31,NONE,"Nardymas 2: srovės, kabliai ir simuliuojamas chaosas",@adomas-s
2026-07-31,NONE,Kodėl „truputį kasdien“ neveikia: produktyvumas per apsėdimą,@credas
2026-07-31,NONE,Viešpirkiu iniciatyva - ką gali entuziastai AI amziuje?,@eima
2026-07-31,NONE,Asmeninės galios pajauta,Antanas Mockus
2026-07-31,NONE,Lietuvos Kariuomenės Mažosios oro gynybos sistema (MOGS),@Gintaris
2026-07-31,NONE,Juostiniai aidai - kas tai yra ir kodėl įdomu,@VytautasVisminas
2026-07-31,NONE,Kodėl Lietuvos keliai tokie?,vaidas
2026-07-31,NONE,Ar perdegimas = „tiesiog pavargau“?,Daiva
2026-07-31,NONE,Kodėl Radvilų rūmai sugriuvę?,Domas
2026-07-31,NONE,E-tekstilės tyrinėjimai ir Fabricademy kursas,Ieva Marija
2026-07-31,NONE,Crokinole and other board games workshop,@tadkle
2026-07-31,NONE,Kaip susikonstruoti kovinį robotą?,@TomasSiauliaiNights
2026-07-31,NONE,Kompiuterių pamokos vis dar reikalingos,@jbutkus
2026-07-31,NONE,Afrikinių dūdų (a.k.a. Pulse Jet) demonstracija,KMS
2026-07-31,NONE,Ukulelės terapija prie laužo,Austėja KMS
2026-07-31,NONE,Meshcore camp network and uplink to VLN,Group effort
2026-07-31,NONE,"9 mėnesiai, kuriuos daugelis vadina prarastais",Martynas Jančys
2026-07-31,NONE,Pratybos regėjimui,Agnė
2026-07-31,NONE,MeshCore - kaip pasigaminti retransliatorių?,@MartynasZilinskas
2026-07-31,NONE,Bendraminčių Bingo - susipažinimo veikla,Paulina
2026-07-31,NONE,Šakočių kepimas Kęstučio patūrbintu pačiumi,Paulius Algis
2026-07-31,NONE,"Nuo Antikos iki Irano, karai pagal akademikus",Manvydas
2026-07-31,NONE,"4,04 km bėgimas",Kristina
2026-07-31,NONE,400 min vidury greitkelio vardan 2cm GPS tikslumo telefone,@pbriedis
2026-07-31,NONE,In London as a VR programming teenager,Ahmed Azmat-Kuizinas
2026-07-31,NONE,Sea battle game workshop,@rm
2026-07-31,NONE,DnD nuotykis su Linksmuoju Džeku,Dalius
2026-07-31,NONE,"Lietuva, tu man viena - 100 metų ekonomikos ir demografijos",@VytautasV
2026-07-31,NONE,Pramogų parkų cheat code,"Minkevičius, Meida & Urtė"
2026-07-31,NONE,Reproducable home lab with NixOS,2m
2026-07-31,NONE,Linux workshop,@kvaidas
2026-07-31,NONE,Geneologija ir Archyvai,Pranas S.
2026-07-31,NONE,Maker in Drone squad,Pranas S.
2026-07-31,NONE,Kodėl nesulūžta lėktuvai kuriais skrendame?,Julius
2026-07-31,NONE,Laivavedyba. Kodėl ir kaip tapti kapitonu?,Kapitonas Darles
2026-07-31,NONE,"Indie Game, hold my beer",Danielius Jonušas
2026-07-31,NONE,Workshop: Išbandyk VR headset,@adassid
2026-07-31,NONE,Breaking Up With The Big Tech,Justinas
2026-07-31,NONE,"Alpinistinė įranga. Pakilimas, nusileidimas, saugojimas",Tautvydas
